ID,Value1,Value2
1004,0x06,0x02
1005,0x82,0x80
1005,0x90,0x80
1011,0x7f,0x6f
1012,0x45,0x65
1012,0x61,0x65
1012,0x67,0x65
1012,0x6d,0x65
1012,0x75,0x65
1013,0x00,0x80
1013,0x81,0x80
1013,0x82,0x80
1013,0x84,0x80
1013,0x88,0x80
1013,0x90,0x80
1013,0xa0,0x80
1013,0xc0,0x80
1015,0x7a,0xfa
1016,0x5f,0x7f
1016,0x6f,0x7f
1016,0x7e,0x7f
1017,0x8c,0xac
1017,0xa4,0xac
1017,0xbc,0xac
1018,0x06,0x02
1019,0x10,0x90
1019,0x80,0x90
1019,0x91,0x90
1019,0x92,0x90
1019,0x94,0x90
1019,0x98,0x90
1019,0xb0,0x90
1019,0xd0,0x90
1020,0x01,0x00
1020,0x02,0x00
1020,0x04,0x00
1020,0x10,0x00
1020,0x20,0x00
1024,0x7a,0xfa
1025,0x7f,0x6f
1026,0x4d,0x6d
1026,0x65,0x6d
1026,0x69,0x6d
1026,0x6f,0x6d
1026,0x7d,0x6d
1026,0xed,0x6d
1027,0x10,0x90
1027,0x80,0x90
1027,0x91,0x90
1027,0x92,0x90
1027,0x94,0x90
1027,0x98,0x90
1027,0xb0,0x90
1027,0xd0,0x90
1029,0x7a,0xfa
1030,0x5f,0x7f
1030,0x6f,0x7f
1030,0x7e,0x7f
1031,0x94,0xb4
1031,0xa4,0xb4
1031,0xbc,0xb4
1032,0x06,0x02
1033,0x20,0xa0
1033,0x80,0xa0
1033,0xa1,0xa0
1033,0xa2,0xa0
1033,0xa4,0xa0
1033,0xa8,0xa0
1033,0xb0,0xa0
1033,0xe0,0xa0
1034,0x01,0x00
1034,0x02,0x00
1034,0x04,0x00
1034,0x08,0x00
1034,0x20,0x00
1038,0x7a,0xfa
1039,0x7f,0x6f
1040,0x55,0x75
1040,0x65,0x75
1040,0x71,0x75
1040,0x77,0x75
1040,0x7d,0x75
1041,0x20,0xa0
1041,0x80,0xa0
1041,0xa1,0xa0
1041,0xa2,0xa0
1041,0xa4,0xa0
1041,0xa8,0xa0
1041,0xb0,0xa0
1041,0xe0,0xa0
1043,0x7a,0xfa
1044,0x5f,0x7f
1044,0x6f,0x7f
1044,0x7e,0x7f
1045,0x9c,0xbc
1045,0xac,0xbc
1045,0xb4,0xbc
1046,0x06,0x02
1047,0x30,0xb0
1047,0x90,0xb0
1047,0xa0,0xb0
1047,0xb1,0xb0
1047,0xb2,0xb0
1047,0xb4,0xb0
1047,0xb8,0xb0
1047,0xf0,0xb0
1048,0x01,0x00
1048,0x02,0x00
1048,0x04,0x00
1048,0x20,0x00
1052,0x7a,0xfa
1053,0x7f,0x6f
1054,0x5d,0x7d
1054,0x6d,0x7d
1054,0x75,0x7d
1054,0x79,0x7d
1054,0x7f,0x7d
1055,0x30,0xb0
1055,0x90,0xb0
1055,0xa0,0xb0
1055,0xb1,0xb0
1055,0xb2,0xb0
1055,0xb4,0xb0
1055,0xb8,0xb0
1055,0xf0,0xb0
1057,0x7a,0xfa
1058,0x5f,0x7f
1058,0x6f,0x7f
1058,0x7e,0x7f
1059,0x84,0xa4
1059,0xac,0xa4
1059,0xb4,0xa4
1060,0x06,0x02
1061,0x40,0xc0
1061,0x80,0xc0
1061,0xc1,0xc0
1061,0xc2,0xc0
1061,0xc4,0xc0
1061,0xc8,0xc0
1061,0xd0,0xc0
1061,0xe0,0xc0
1062,0x01,0x00
1062,0x02,0x00
1062,0x04,0x00
1062,0x08,0x00
1062,0x10,0x00
1062,0x20,0x00
1066,0x7a,0xfa
1067,0x5f,0x7f
1067,0x6f,0x7f
1067,0x7e,0x7f
1068,0x8c,0xac
1068,0xa4,0xac
1068,0xbc,0xac
1069,0x06,0x02
1070,0x50,0xd0
1070,0x90,0xd0
1070,0xc0,0xd0
1070,0xd1,0xd0
1070,0xd2,0xd0
1070,0xd4,0xd0
1070,0xd8,0xd0
1070,0xf0,0xd0
1071,0x01,0x00
1071,0x02,0x00
1071,0x04,0x00
1071,0x08,0x00
1071,0x20,0x00
1075,0x7a,0xfa
1076,0x5f,0x7f
1076,0x6f,0x7f
1076,0x7e,0x7f
1077,0x94,0xb4
1077,0xa4,0xb4
1077,0xbc,0xb4
1078,0x06,0x02
1079,0x60,0xe0
1079,0xa0,0xe0
1079,0xc0,0xe0
1079,0xe1,0xe0
1079,0xe2,0xe0
1079,0xe4,0xe0
1079,0xe8,0xe0
1079,0xf0,0xe0
1080,0x01,0x00
1080,0x02,0x00
1080,0x04,0x00
1080,0x10,0x00
1080,0x20,0x00
1084,0x7a,0xfa
1085,0x5f,0x7f
1085,0x6f,0x7f
1085,0x7e,0x7f
1086,0x9c,0xbc
1086,0xac,0xbc
1086,0xb4,0xbc
1087,0x06,0x02
1088,0x70,0xf0
1088,0xb0,0xf0
1088,0xd0,0xf0
1088,0xe0,0xf0
1088,0xf1,0xf0
1088,0xf2,0xf0
1088,0xf4,0xf0
1088,0xf8,0xf0
1089,0x01,0x00
1089,0x02,0x00
1089,0x04,0x00
1089,0x10,0x00
1089,0x20,0x00
176,0x0b,0x8b
176,0x8a,0x8b
177,0x15,0x95
177,0x85,0x95
177,0x97,0x95
177,0x9d,0x95
177,0xb5,0x95
178,0x30,0xb0
178,0x90,0xb0
178,0xa0,0xb0
178,0xb1,0xb0
178,0xb2,0xb0
178,0xb4,0xb0
178,0xb8,0xb0
178,0xf0,0xb0
179,0x7e,0xfe
179,0xbe,0xfe
179,0xde,0xfe
179,0xee,0xfe
179,0xf6,0xfe
179,0xfa,0xfe
179,0xfc,0xfe
179,0xff,0xfe
180,0xbf,0xff
180,0xdf,0xff
180,0xef,0xff
180,0xf7,0xff
180,0xfb,0xff
180,0xfd,0xff
180,0xfe,0xff
181,0xf7,0xff
195,0x01,0x00
198,0x40,0x00
198,0x80,0x00
209,0x0d,0x8d
210,0x40,0x42
210,0x46,0x42
210,0x4a,0x42
211,0x7d,0xfd
211,0xbd,0xfd
211,0xdd,0xfd
211,0xed,0xfd
211,0xf5,0xfd
211,0xfc,0xfd
211,0xff,0xfd
213,0xc9,0xc1
213,0xd1,0xc1
213,0xe1,0xc1
214,0x09,0x89
214,0x88,0x89
214,0x8b,0x89
214,0x8d,0x89
215,0x87,0x85
215,0x95,0x85
215,0xa5,0x85
216,0x10,0x90
216,0x80,0x90
216,0x91,0x90
216,0x92,0x90
216,0x94,0x90
216,0xb0,0x90
216,0xd0,0x90
217,0x7e,0xfe
217,0xbe,0xfe
217,0xde,0xfe
217,0xee,0xfe
217,0xf6,0xfe
217,0xfa,0xfe
217,0xfc,0xfe
217,0xff,0xfe
218,0xbf,0xff
218,0xdf,0xff
218,0xef,0xff
218,0xf7,0xff
218,0xfb,0xff
218,0xfd,0xff
218,0xfe,0xff
221,0x00,0x01
221,0x03,0x01
221,0x05,0x01
221,0x09,0x01
221,0x11,0x01
221,0x21,0x01
221,0x41,0x01
221,0x81,0x01
222,0x01,0x00
222,0x02,0x00
222,0x04,0x00
222,0x08,0x00
222,0x10,0x00
222,0x20,0x00
222,0x40,0x00
222,0x80,0x00
223,0x01,0x00
223,0x02,0x00
223,0x04,0x00
223,0x08,0x00
223,0x10,0x00
223,0x20,0x00
223,0x40,0x00
223,0x80,0x00
224,0x01,0x00
224,0x02,0x00
224,0x04,0x00
224,0x08,0x00
224,0x10,0x00
224,0x20,0x00
224,0x40,0x00
227,0xb0,0xb4
227,0xb5,0xb4
231,0x01,0x00
231,0x02,0x00
231,0x04,0x00
231,0x08,0x00
231,0x10,0x00
231,0x20,0x00
231,0x40,0x00
231,0x80,0x00
232,0x01,0x00
234,0x08,0x00
234,0x10,0x00
234,0x20,0x00
234,0x40,0x00
234,0x80,0x00
235,0xdb,0xd3
236,0xe8,0xe0
238,0xc8,0xe8
238,0xe9,0xe8
238,0xea,0xe8
238,0xf8,0xe8
239,0x00,0x01
239,0x03,0x01
239,0x05,0x01
239,0x09,0x01
239,0x11,0x01
239,0x21,0x01
239,0x41,0x01
239,0x81,0x01
240,0x09,0x89
240,0x88,0x89
240,0x8b,0x89
240,0x8d,0x89
241,0x87,0x85
241,0x95,0x85
241,0xa5,0x85
242,0x04,0x84
242,0x80,0x84
242,0x85,0x84
242,0x86,0x84
242,0xa4,0x84
242,0xc4,0x84
243,0x7e,0xfe
243,0xbe,0xfe
243,0xde,0xfe
243,0xee,0xfe
243,0xf6,0xfe
243,0xfa,0xfe
243,0xfc,0xfe
243,0xff,0xfe
244,0xbf,0xff
244,0xdf,0xff
244,0xef,0xff
244,0xf7,0xff
244,0xfb,0xff
244,0xfd,0xff
244,0xfe,0xff
249,0xc1,0xc0
249,0xc2,0xc0
249,0xc4,0xc0
249,0xc8,0xc0
250,0x7e,0xfe
250,0xbe,0xfe
250,0xde,0xfe
250,0xee,0xfe
250,0xf6,0xfe
250,0xfa,0xfe
250,0xfc,0xfe
251,0xbf,0xff
251,0xdf,0xff
251,0xef,0xff
251,0xf7,0xff
251,0xfb,0xff
251,0xfd,0xff
251,0xfe,0xff
255,0xa5,0x85
262,0xfb,0xff
262,0xfd,0xff
262,0xfe,0xff
264,0x8d,0x85
264,0x95,0x85
270,0x9f,0x9d
280,0xfd,0xff
280,0xfe,0xff
330,0xfc,0xbc
331,0xfa,0xfe
331,0xff,0xfe
336,0xf8,0xb8
337,0xfa,0xfe
337,0xff,0xfe
363,0x90,0xb0
389,0x40,0x00
395,0x90,0x80
396,0xff,0xfe
407,0xc3,0xc2
407,0xc6,0xc2
410,0xf4,0xb4
411,0xfa,0xfe
411,0xfc,0xfe
411,0xff,0xfe
412,0xdf,0xff
412,0xfb,0xff
412,0xfd,0xff
412,0xfe,0xff
438,0x9d,0x95
439,0xc4,0x84
440,0xfa,0xfe
440,0xfc,0xfe
440,0xff,0xfe
441,0xfb,0xff
444,0x9d,0x95
445,0xd4,0x94
446,0xfa,0xfe
446,0xfc,0xfe
447,0xdf,0xff
447,0xfb,0xff
447,0xfd,0xff
447,0xfe,0xff
463,0xfc,0xbc
464,0xfa,0xfe
464,0xff,0xfe
469,0xea,0xe8
469,0xf8,0xe8
471,0x8f,0x8d
471,0x9d,0x8d
472,0x9c,0xbc
472,0xfc,0xbc
